i,n,m,t
3077,2,2,52
3085,17,8,3
1549,5,8,54
4626,8,8,91
4117,3,3,62
4630,8,8,76
4631,8,8,85
4119,8,8,67
4121,7,2,71
4638,1,8,72
4127,8,8,12
1568,8,8,18
4641,2,2,75
4642,3,3,72
2595,5,8,21
4644,13,2,15
1061,17,8,16
4137,3,3,56
47,17,3,28
4656,5,8,63
1078,8,8,13
1099,2,2,55
4684,3,3,6
4171,8,8,58
4691,8,8,66
3667,8,8,81
2648,3,3,39
610,2,2,61
2664,8,8,55
2670,3,3,35
3183,3,3,46
4726,8,8,6
2170,8,8,68
3196,8,8,59
3709,11,8,88
4229,8,8,64
4747,5,8,75
654,17,8,77
4241,5,8,21
4753,17,8,8
147,17,8,48
2709,8,8,43
3734,17,8,24
4758,3,3,58
3740,5,8,34
4764,2,2,53
1697,8,8,4
3233,8,8,60
1185,17,3,16
4257,3,3,68
4775,3,3,44
685,8,8,15
4781,8,8,92
3761,5,8,56
3249,2,2,86
2227,3,3,59
2229,12,8,5
4278,10,8,13
3767,8,8,20
4791,1,8,77
1719,3,3,84
2747,17,8,9
3273,8,8,79
2250,8,8,79
719,8,8,5
3795,2,2,1
3287,1,8,79
2776,8,8,70
3802,8,8,62
2782,6,2,68
1249,11,8,9
1765,3,3,85
1255,19,2,4
4840,13,2,10
1259,8,8,16
4847,8,8,16
1779,2,2,14
1780,17,8,19
1270,3,3,71
248,3,3,88
4860,13,2,76
3325,2,2,73
4862,8,8,93
4352,8,8,8
3843,5,8,62
3333,8,8,35
3848,1,8,39
2312,3,3,60
1801,2,2,91
4365,3,3,83
1808,5,8,4
1817,3,3,42
287,12,8,52
3362,8,8,1
1321,8,8,69
3369,3,3,38
311,12,8,81
3896,3,3,67
3901,2,2,72
318,3,3,16
1854,13,2,69
2880,18,3,8
1857,3,3,34
2377,19,8,11
843,3,3,78
4430,5,8,7
847,3,3,73
3421,12,8,26
3934,19,2,20
2911,6,2,8
3945,8,8,87
3439,4,2,56
3956,3,3,53
1398,8,8,2
2935,13,2,3
3960,3,3,51
4481,2,2,39
1922,3,3,61
2949,8,8,56
2954,3,3,57
3475,8,8,27
1432,3,3,69
4507,8,8,19
3487,5,8,56
416,8,8,70
3491,3,3,55
2475,2,2,89
942,8,8,1
1454,8,8,10
433,8,8,7
4017,1,8,57
4019,3,3,2
3505,3,3,48
444,3,3,66
956,8,8,65
4545,8,8,6
3521,3,3,9
3012,8,8,77
1991,3,3,80
4054,16,2,13
1494,3,3,52
475,5,8,87
4576,8,8,19
3041,3,3,76
3554,1,3,15
3556,8,8,86
3047,2,2,58
4073,1,8,7
3049,8,8,90
1516,8,8,59
1519,3,3,70
2033,5,8,88
1523,14,8,48
2553,0,8,82
