i,m,t
4352,8,8
4481,5,89
4747,5,75
3085,8,4
654,8,78
1808,5,4
4626,8,91
4117,5,46
4631,8,85
1432,12,52
1817,3,42
3740,8,58
4764,8,5
4127,12,24
416,8,70
1697,5,87
3362,13,18
4641,13,76
4642,5,56
3233,8,89
1185,8,17
4775,12,13
1061,8,17
4137,3,56
1321,8,69
2595,5,21
685,8,23
942,8,59
433,8,13
3761,5,56
4019,8,71
2229,12,5
1078,13,56
3767,3,61
311,12,81
4278,12,15
4791,8,78
444,5,85
3901,8,13
4545,8,6
1857,0,11
1991,8,89
2250,12,4
1099,13,56
4684,8,90
4430,5,7
719,8,5
3795,5,74
4691,5,75
4054,13,10
2776,8,70
3802,8,53
475,5,87
4576,8,19
1249,0,1
610,8,81
1255,13,58
4073,8,8
1519,3,70
4847,13,54
1398,12,59
2935,8,11
4726,8,6
2170,8,68
4862,8,93
